name,stars,title,reviews,ASIN
Tonja Drecker,5.0 out of 5 stars,Works well,"Frustrated with a wireless mouse and the regular change of batteries, I decided to give this one a go. I'll admit, I'm not a gamer but do spend (thanks to work) a lot of time on the computer and wanted something easy to use, well fitting to the hand, and a little bit of fun. This mouse meets all of the above.",
l2,4.0 out of 5 stars,"smaller and lighter than most gaming mice, not programmable","This mouse is a little smaller and lighter weight than most gaming mice. It installed plug-and-play on my Windows 10 PC. It operates mostly smoothly and the DPI can be configured via buttons on the mouse. None of the buttons can be programmed like you can with name brand gaming mice. The lighting is cute at first, but gets annoying after a while. You can turn it off by pressing the two DPI buttons down at the same time. 3 stars for functionality + 1 star for value price = 4 stars.",
Persnickety,5.0 out of 5 stars,"Outstanding Value, Nice Wheel, Easy DPI switching","This is comparable to my razor mouse, not quite as good, but still very good. Especially given the very reasonable price.  I especially like the mouse wheel which is smooth and has good ""dpi"". (most mice in this range have a wheel where one click difference scrolls half a page)",
CocoLoco,4.0 out of 5 stars,Decent mouse for the money,"This computer mouse if really great for the price.  It looks and feels like similar computer mice that cost twice as much.  The lighting is very basic, it just fades in a continuous cycle but the lights look pretty cool even if they aren't super customizable.  Fast and accurate,  decent build quality.",
Daniel Stark,4.0 out of 5 stars,⭐A great entry level mouse⭐ 👇👇👇,This FIODIO gaming mouse definitely has customer niche to cater.,
Auntie Annie,4.0 out of 5 stars,A  little trouble,"I'm still having a little trouble adjusting to this. I will say that it is easier on the hands than the regular mouse, but my brain seems to have been wired by repetition. Of course, I guess that would be true for any mouse where the clicker is located on the side. No reflection on the quality of this product.",
Alina,5.0 out of 5 stars,Works well and I love the Colors,"For my use, this mouse works great! I should note that I am using this mouse for regular office use, not for gaming. I haven't had any issues with it so far. I have been using it every day while I work. I use it with my laptop so that I don't have to use the built-in touchpad. The scrolling wheel is convenient to use and the buttons react quickly when I press them. I especially like the rainbow colors, it brightens up my day!",
Kate Estevez,4.0 out of 5 stars,As good as my last one,"It’s very comfortable, the cable length is really good, the dpi is good and responsive. It looks nice and gets the job done. I’m happy with it. It works great for my level of gaming.",
Meka270,5.0 out of 5 stars,Very nice,Very nice mouse,
Elliot Knapp,5.0 out of 5 stars,Great mouse,"I like this mouse a lot--while I'm not a huge gamer, I often do music production work that requires a good, ergonomic mouse, and I enjoy having a mouse set up with a variety of secondary button functions.  The mouse feels nice and solid (it doesn't have a lot of sharp edges, which some gaming mouses do and I'm not a fan of), the scroll wheel is smooth, I like the braided cloth cord, and the pulsing LEDs are cool (although I wish they had a better sleep mode or something, since it continues pulsing even when the mouse hasn't been in use for a while).  If you don't mind a wired mouse, this is a cost-effective and good option!",
Gilbert M. Stack,5.0 out of 5 stars,Functional and Cool in One Package,"This is a very cool gaming mouse. First off, its basic function of moving the pointer around was smooth and accurate—no problems at all. In addition, the buttons on the side of the mouse greatly sped up moving forward and backward through page links. But it’s the ability to change the color of the light radiating from the mouse that is my favorite part of the instrument. I realize that the light color has nothing to do with the actual functionality, but it was just cool and I love it.",
Douglas C. Meeks,5.0 out of 5 stars,A Great Gaming Mouse,"This has it all, comfort for hours of play, responsive so no lag when it counts the most and add in plug and play (many gaming mice require additional software) plus looking really cool and you have a 5 Star device.",
Kim S,5.0 out of 5 stars,"Fits well for both people of the house, 1 female, 1 male","The fiodio F-9520 Gaming Mouse has a nice slim ergonomic feel that's easy to use with a clean and elegant design. The matte black finish also shows oils after some use, but it's only visible when looking closely.",
B Frazier,5.0 out of 5 stars,Cool... comfortable mouse,"I always get the wireless mouse and having to keep replacing the battery in them, so this time I decided to try a wired one. I’m so glad I did. This mouse is so vibrant and colorful when in use. It’s very comfortable and it’s cars is long enough to reach from the back of my pc to the top of my desk and have wiggle room. It’s a gaming mouse and it does move with all the action. Great price and quality.",
Chris F.,5.0 out of 5 stars,Good mouse for the price,"While I have not yet used this mouse for heavy gaming, light use has shown it to be very responsive and comfortable in my hand. The buttons respond well and the wheel spins as expected. I have been very happy with this thus far.",
Nuk,3.0 out of 5 stars,Not so precise,"I needed a quick replacement mouse because one of the buttons of the one I am using gave up.  If you are used to a nice more expensive mouse, the initial feel is that it is very basic and cheap.  My main problem is precision.  It should be OK as a multi-purpose mouse but felt underwhelming if you can call it a gaming mouse.",
Ernesto,5.0 out of 5 stars,It is still lasting,"The FIODIO Wired Gaming Mouse works very well for my laptop and haven't had any disconnecting issues of any kind. It feels comfortable when moving it around and clicking on items. I do not do have gaming, but it works well with the digital board games and playing Among Us. It is a good gaming mouse for the price.",
Troy Betenson,5.0 out of 5 stars,Great value,Easy to use and fits the hand great. Plug and play. Quick sensitivity adjustments on the top and back and forward browser buttons on the thumb side. Smooth roller button as well. Great value,
crazy_shopper,5.0 out of 5 stars,Very Nice and handy wired mouse,"I have brought this for my windows 10 PC. This mouse works fine and very hand it use. Just plug in and Use, i haven't installed any additional software to make it work.",
